# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
0.0353715      	7.8984017e-01
0.0354285      	7.9089447e-01
0.0354854      	7.9440044e-01
0.0355422      	7.9545052e-01
0.0355987      	7.9895120e-01
0.0356552      	7.9999711e-01
0.0357115      	8.0349256e-01
0.0357677      	8.0453434e-01
0.0358237      	8.0802460e-01
0.0358795      	8.0906231e-01
0.0359353      	8.1254744e-01
0.0359908      	8.1358113e-01
0.0360463      	8.1706117e-01
0.0361016      	8.1808658e-01
0.0361568      	8.2156074e-01
0.0362118      	8.2258223e-01
0.0362667      	8.2605142e-01
0.0363215      	8.2706903e-01
0.0363761      	8.3053328e-01
0.0364306      	8.3154707e-01
0.0364849      	8.3500643e-01
0.0365391      	8.3601645e-01
0.0365932      	8.3947096e-01
0.0366472      	8.4047724e-01
0.036701       	8.4392695e-01
0.0367547      	8.4492954e-01
0.0368083      	8.4837449e-01
0.0368618      	8.4937343e-01
0.0369151      	8.5281366e-01
0.0369683      	8.5380899e-01
0.0370213      	8.5724455e-01
0.0370743      	8.5823631e-01
0.0371271      	8.6166724e-01
0.0371798      	8.6265547e-01
0.0372324      	8.6608180e-01
0.0372848      	8.6706655e-01
0.0373371      	8.7048832e-01
0.0373893      	8.7146962e-01
0.0374414      	8.7488688e-01
0.0374934      	8.7586477e-01
0.0375453      	8.7927755e-01
0.037597       	8.8025206e-01
0.0376486      	8.8366040e-01
0.0377001      	8.8463158e-01
0.0377515      	8.8803552e-01
0.0378028      	8.8900340e-01
0.0378539      	8.9240296e-01
0.037905       	8.9336758e-01
0.0379559      	8.9676281e-01
0.0380067      	8.9772421e-01
0.0380574      	9.0111580e-01
0.038108       	9.0207831e-01
0.0381585      	9.0546563e-01
0.0382089      	9.0642498e-01
0.0382592      	9.0980806e-01
0.0383093      	9.1076428e-01
0.0383594      	9.1414316e-01
0.0384093      	9.1509627e-01
0.0384591      	9.1847098e-01
0.0385089      	9.1942102e-01
0.0385585      	9.2279159e-01
0.038608       	9.2373860e-01
0.0386574      	9.2710506e-01
0.0387067      	9.2804906e-01
0.0387559      	9.3141145e-01
0.038805       	9.3235248e-01
0.038854       	9.3571083e-01
0.0389029      	9.3664891e-01
0.0389517      	9.4000325e-01
0.0390004      	9.4093842e-01
0.039049       	9.4428873e-01
0.0390975      	9.4521616e-01
0.0391459      	9.4856253e-01
0.0391941      	9.4948712e-01
0.0392423      	9.5282956e-01
0.0392904      	9.5375133e-01
0.0393384      	9.5708989e-01
0.0393863      	9.5800888e-01
0.0394341      	9.6134357e-01
0.0394819      	9.6225980e-01
0.0395295      	9.6559066e-01
0.039577       	9.6650415e-01
0.0396244      	9.6983121e-01
0.0396717      	9.7074200e-01
0.039719       	9.7406528e-01
0.0397661      	9.7497339e-01
0.0398132      	9.7829291e-01
0.0398601      	9.7919837e-01
0.039907       	9.8251417e-01
0.0399538      	9.8341700e-01
0.0400005      	9.8672911e-01
0.0400471      	9.8762968e-01
0.0400936      	9.9097144e-01
0.04014        	9.9186939e-01
0.0401863      	9.9520744e-01
0.0402326      	9.9610281e-01
0.0402787      	9.9943718e-01
0.0403248      	1.0003300e+00
0.0403707      	1.0036607e+00
0.0404166      	1.0045509e+00
0.0404624      	1.0078780e+00
0.0405081      	1.0087657e+00
0.0405537      	1.0120892e+00
0.0405993      	1.0129744e+00
0.0406447      	1.0162943e+00
0.0406901      	1.0171771e+00
0.0407354      	1.0204934e+00
0.0407806      	1.0213737e+00
0.0408257      	1.0246865e+00
0.0408707      	1.0255644e+00
0.0409157      	1.0288737e+00
0.0409605      	1.0297491e+00
0.0410053      	1.0330549e+00
0.04105        	1.0339280e+00
0.0410946      	1.0372303e+00
0.0411391      	1.0381011e+00
0.0411836      	1.0413999e+00
0.041228       	1.0422684e+00
0.0412723      	1.0455638e+00
0.0413165      	1.0464299e+00
0.0413606      	1.0497219e+00
0.0414047      	1.0505857e+00
0.0414486      	1.0538744e+00
0.0414925      	1.0547359e+00
0.0415363      	1.0580212e+00
0.0415801      	1.0588805e+00
0.0416237      	1.0621624e+00
0.0416673      	1.0630195e+00
0.0417108      	1.0662981e+00
0.0417543      	1.0671529e+00
0.0417976      	1.0704283e+00
0.0418409      	1.0712809e+00
0.0418841      	1.0745530e+00
0.0419272      	1.0754034e+00
0.0419703      	1.0786722e+00
0.0420133      	1.0795205e+00
0.0420562      	1.0827847e+00
0.042099       	1.0836276e+00
0.0421418      	1.0868885e+00
0.0421845      	1.0877294e+00
0.0422271      	1.0909871e+00
0.0422696      	1.0918259e+00
0.0423121      	1.0950804e+00
0.0423545      	1.0959171e+00
0.0423968      	1.0991685e+00
0.0424391      	1.1000032e+00
0.0424812      	1.1032514e+00
0.0425233      	1.1040840e+00
0.0425654      	1.1073291e+00
0.0426074      	1.1081598e+00
0.0426493      	1.1114018e+00
0.0426911      	1.1122304e+00
0.0427329      	1.1154693e+00
0.0427746      	1.1162959e+00
0.0428162      	1.1195318e+00
0.0428577      	1.1203565e+00
0.0428992      	1.1235893e+00
0.0429407      	1.1244120e+00
0.042982       	1.1276417e+00
0.0430233      	1.1284625e+00
0.0430645      	1.1316919e+00
0.0431057      	1.1325127e+00
0.0431468      	1.1357391e+00
0.0431878      	1.1365580e+00
0.0432287      	1.1397814e+00
0.0432696      	1.1405984e+00
0.0433105      	1.1438188e+00
0.0433512      	1.1446340e+00
0.0433919      	1.1478514e+00
0.0434325      	1.1486648e+00
0.0434731      	1.1518792e+00
0.0435136      	1.1526908e+00
0.043554       	1.1559023e+00
0.0435944      	1.1567120e+00
0.0436347      	1.1599206e+00
0.043675       	1.1607285e+00
0.0437152      	1.1639342e+00
0.0437553      	1.1647403e+00
0.0437953      	1.1679432e+00
0.0438353      	1.1687475e+00
0.0438753      	1.1719474e+00
0.0439152      	1.1727500e+00
0.043955       	1.1759471e+00
0.0439947      	1.1767479e+00
0.0440344      	1.1799422e+00
0.044074       	1.1807413e+00
0.0441136      	1.1839327e+00
0.0441531      	1.1847301e+00
0.0441926      	1.1879187e+00
0.044232       	1.1887144e+00
0.0442713      	1.1919003e+00
0.0443106      	1.1926942e+00
0.0443498      	1.1958773e+00
0.0443889      	1.1966695e+00
0.044428       	1.1998499e+00
0.0444671      	1.2006405e+00
0.044506       	1.2038180e+00
0.044545       	1.2046070e+00
0.0445838      	1.2077818e+00
0.0446226      	1.2085691e+00
0.0446614      	1.2117413e+00
0.0447001      	1.2125269e+00
0.0447387      	1.2156963e+00
0.0447773      	1.2164804e+00
0.0448158      	1.2196471e+00
0.0448543      	1.2204296e+00
0.0448927      	1.2235936e+00
0.044931       	1.2243745e+00
0.0449693      	1.2275358e+00
0.0450076      	1.2283151e+00
0.0450458      	1.2314738e+00
0.0450839      	1.2322515e+00
0.045122       	1.2354076e+00
0.04516        	1.2361838e+00
0.0451979      	1.2393372e+00
0.0452359      	1.2401119e+00
0.0452737      	1.2432627e+00
0.0453115      	1.2440358e+00
0.0453493      	1.2471840e+00
0.045387       	1.2479556e+00
0.0454246      	1.2511012e+00
0.0454622      	1.2518713e+00
