# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
0.0346157      	6.9565339e-01
0.0346748      	6.9894456e-01
0.0347337      	6.9973032e-01
0.0347925      	7.0301589e-01
0.034851       	7.0379707e-01
0.0349095      	7.0707709e-01
0.0349678      	7.0785375e-01
0.0350259      	7.1112828e-01
0.0350838      	7.1190282e-01
0.0351416      	7.1517481e-01
0.0351993      	7.1594494e-01
0.0352568      	7.1921155e-01
0.0353141      	7.1997731e-01
0.0353713      	7.2323859e-01
0.0354284      	7.2400004e-01
0.0354853      	7.2725604e-01
0.035542       	7.2801325e-01
0.0355986      	7.3126401e-01
0.035655       	7.3201702e-01
0.0357113      	7.3526260e-01
0.0357675      	7.3601147e-01
0.0358235      	7.3925192e-01
0.0358794      	7.3999669e-01
0.0359351      	7.4323207e-01
0.0359907      	7.4397278e-01
0.0360462      	7.4720313e-01
0.0361015      	7.4793556e-01
0.0361566      	7.5116007e-01
0.0362117      	7.5188856e-01
0.0362666      	7.5510814e-01
0.0363213      	7.5583274e-01
0.0363759      	7.5904744e-01
0.0364304      	7.5976819e-01
0.0364848      	7.6297806e-01
0.036539       	7.6369500e-01
0.0365931      	7.6690008e-01
0.0366471      	7.6761327e-01
0.0367009      	7.7081359e-01
0.0367546      	7.7152306e-01
0.0368082      	7.7471868e-01
0.0368616      	7.7542449e-01
0.0369149      	7.7861544e-01
0.0369681      	7.7931761e-01
0.0370212      	7.8250394e-01
0.0370741      	7.8320253e-01
0.037127       	7.8638427e-01
0.0371797      	7.8707931e-01
0.0372322      	7.9025651e-01
0.0372847      	7.9094804e-01
0.037337       	7.9412074e-01
0.0373892      	7.9480880e-01
0.0374413      	7.9797703e-01
0.0374933      	7.9866166e-01
0.0375451      	8.0182546e-01
0.0375969      	8.0250670e-01
0.0376485      	8.0566611e-01
0.0377         	8.0634399e-01
0.0377514      	8.0949905e-01
0.0378026      	8.1017361e-01
0.0378538      	8.1332435e-01
0.0379048      	8.1399562e-01
0.0379558      	8.1714208e-01
0.0380066      	8.1781011e-01
0.0380573      	8.2095296e-01
0.0381079      	8.2162210e-01
0.0381584      	8.2476073e-01
0.0382088      	8.2542669e-01
0.038259       	8.2856113e-01
0.0383092      	8.2922393e-01
0.0383592      	8.3235422e-01
0.0384092      	8.3301390e-01
0.038459       	8.3614006e-01
0.0385087      	8.3679665e-01
0.0385583      	8.3991872e-01
0.0386079      	8.4057226e-01
0.0386573      	8.4369027e-01
0.0387066      	8.4434079e-01
0.0387558      	8.4745477e-01
0.0388049      	8.4810229e-01
0.0388539      	8.5121228e-01
0.0389028      	8.5185684e-01
0.0389516      	8.5496285e-01
0.0390003      	8.5560448e-01
0.0390488      	8.5870654e-01
0.0390973      	8.5934040e-01
0.0391457      	8.6243855e-01
0.039194       	8.6306955e-01
0.0392422      	8.6616383e-01
0.0392903      	8.6679199e-01
0.0393383      	8.6988242e-01
0.0393862      	8.7050778e-01
0.039434       	8.7359440e-01
0.0394817      	8.7421698e-01
0.0395293      	8.7729981e-01
0.0395769      	8.7791964e-01
0.0396243      	8.8099871e-01
0.0396716      	8.8161581e-01
0.0397189      	8.8469115e-01
0.039766       	8.8530556e-01
0.0398131      	8.8837718e-01
0.03986        	8.8898892e-01
0.0399069      	8.9205687e-01
0.0399537      	8.9266596e-01
0.0400004      	8.9573025e-01
0.040047       	8.9633699e-01
0.0400935      	8.9943106e-01
0.0401399      	9.0003516e-01
0.0401862      	9.0312557e-01
0.0402324      	9.0372706e-01
0.0402786      	9.0681383e-01
0.0403246      	9.0741273e-01
0.0403706      	9.1049589e-01
0.0404165      	9.1109223e-01
0.0404623      	9.1417179e-01
0.040508       	9.1476560e-01
0.0405536      	9.1784160e-01
0.0405992      	9.1843289e-01
0.0406446      	9.2150534e-01
0.04069        	9.2209414e-01
0.0407353      	9.2516308e-01
0.0407805      	9.2574941e-01
0.0408256      	9.2881485e-01
0.0408706      	9.2939874e-01
0.0409155      	9.3246070e-01
0.0409604      	9.3304218e-01
0.0410052      	9.3610069e-01
0.0410499      	9.3667976e-01
0.0410945      	9.3973485e-01
0.041139       	9.4031155e-01
0.0411835      	9.4336322e-01
0.0412279      	9.4393757e-01
0.0412721      	9.4698586e-01
0.0413164      	9.4755788e-01
0.0413605      	9.5060281e-01
0.0414045      	9.5117251e-01
0.0414485      	9.5421410e-01
0.0414924      	9.5478152e-01
0.0415362      	9.5781978e-01
0.04158        	9.5838493e-01
0.0416236      	9.6141990e-01
0.0416672      	9.6198280e-01
0.0417107      	9.6501449e-01
0.0417542      	9.6557516e-01
0.0417975      	9.6860359e-01
0.0418408      	9.6916206e-01
0.041884       	9.7218724e-01
0.0419271      	9.7274353e-01
0.0419702      	9.7576549e-01
0.0420132      	9.7631961e-01
0.0420561      	9.7933694e-01
0.0420989      	9.7988569e-01
0.0421417      	9.8289985e-01
0.0421843      	9.8344647e-01
0.042227       	9.8645747e-01
0.0422695      	9.8700199e-01
0.042312       	9.9000985e-01
0.0423544      	9.9055228e-01
0.0423967      	9.9355703e-01
0.0424389      	9.9409739e-01
0.0424811      	9.9709903e-01
0.0425232      	9.9763735e-01
0.0425653      	1.0006359e+00
0.0426073      	1.0011722e+00
0.0426492      	1.0041677e+00
0.042691       	1.0047020e+00
0.0427328      	1.0076944e+00
0.0427745      	1.0082267e+00
0.0428161      	1.0112161e+00
0.0428576      	1.0117464e+00
0.0428991      	1.0147328e+00
0.0429405      	1.0152611e+00
0.0429819      	1.0182445e+00
0.0430232      	1.0187709e+00
0.0430644      	1.0217539e+00
0.0431056      	1.0222804e+00
0.0431467      	1.0252604e+00
0.0431877      	1.0257849e+00
0.0432286      	1.0287620e+00
0.0432695      	1.0292847e+00
0.0433104      	1.0322588e+00
0.0433511      	1.0327796e+00
0.0433918      	1.0357507e+00
0.0434324      	1.0362696e+00
0.043473       	1.0392379e+00
0.0435135      	1.0397550e+00
0.0435539      	1.0427204e+00
0.0435943      	1.0432356e+00
0.0436346      	1.0461981e+00
0.0436749      	1.0467115e+00
0.0437151      	1.0496712e+00
0.0437552      	1.0501827e+00
0.0437952      	1.0531396e+00
0.0438352      	1.0536493e+00
0.0438752      	1.0566033e+00
0.0439151      	1.0571113e+00
0.0439549      	1.0600625e+00
0.0439946      	1.0605687e+00
0.0440343      	1.0635171e+00
0.0440739      	1.0640216e+00
0.0441135      	1.0669672e+00
0.044153       	1.0674699e+00
0.0441925      	1.0704127e+00
0.0442319      	1.0709138e+00
0.0442712      	1.0738538e+00
0.0443105      	1.0743532e+00
0.0443497      	1.0772905e+00
0.0443888      	1.0777881e+00
0.0444279      	1.0807227e+00
0.044467       	1.0812186e+00
0.0445059      	1.0841505e+00
0.0445449      	1.0846448e+00
0.0445837      	1.0875739e+00
0.0446225      	1.0880666e+00
0.0446613      	1.0909930e+00
0.0447         	1.0914840e+00
0.0447386      	1.0944078e+00
0.0447772      	1.0948972e+00
0.0448157      	1.0978183e+00
0.0448542      	1.0983061e+00
0.0448926      	1.1012245e+00
0.0449309      	1.1017107e+00
0.0449692      	1.1046265e+00
0.0450075      	1.1051111e+00
0.0450457      	1.1080243e+00
0.0450838      	1.1085073e+00
0.0451219      	1.1114179e+00
0.0451599      	1.1118993e+00
0.0451979      	1.1148073e+00
0.0452358      	1.1152872e+00
0.0452736      	1.1181926e+00
0.0453114      	1.1186710e+00
0.0453492      	1.1215738e+00
0.0453869      	1.1220506e+00
0.0454245      	1.1249508e+00
0.0454621      	1.1254262e+00
0.0454997      	1.1283238e+00
0.0455371      	1.1287977e+00
0.0455746      	1.1316928e+00
0.045612       	1.1321651e+00
0.0456493      	1.1350578e+00
0.0456866      	1.1355286e+00
0.0457238      	1.1384187e+00
0.045761       	1.1388881e+00
0.0457981      	1.1417757e+00
0.0458351      	1.1422436e+00
0.0458722      	1.1451287e+00
0.0459091      	1.1455952e+00
0.0459461      	1.1484778e+00
0.0459829      	1.1489428e+00
0.0460197      	1.1518230e+00
0.0460565      	1.1522843e+00
0.0460932      	1.1551599e+00
0.0461299      	1.1556198e+00
0.0461665      	1.1584930e+00
0.0462031      	1.1589515e+00
0.0462396      	1.1618222e+00
0.0462761      	1.1622793e+00
0.0463125      	1.1651477e+00
0.0463489      	1.1656034e+00
0.0463852      	1.1684693e+00
0.0464215      	1.1689237e+00
0.0464577      	1.1717872e+00
0.0464939      	1.1722402e+00
0.04653        	1.1751013e+00
0.0465661      	1.1755530e+00
0.0466021      	1.1784117e+00
0.0466381      	1.1788621e+00
0.046674       	1.1817184e+00
0.0467099      	1.1821674e+00
0.0467458      	1.1850214e+00
0.0467816      	1.1854691e+00
0.0468173      	1.1883207e+00
0.046853       	1.1887672e+00
0.0468887      	1.1916164e+00
0.0469243      	1.1920616e+00
0.0469599      	1.1949085e+00
0.0469954      	1.1953524e+00
0.0470309      	1.1981969e+00
0.0470663      	1.1986433e+00
0.0471017      	1.2014861e+00
0.047137       	1.2019312e+00
0.0471723      	1.2047716e+00
0.0472075      	1.2052155e+00
0.0472428      	1.2080537e+00
0.0472779      	1.2084963e+00
0.047313       	1.2113321e+00
0.0473481      	1.2117735e+00
0.0473831      	1.2146071e+00
0.0474181      	1.2150472e+00
0.047453       	1.2178785e+00
0.0474879      	1.2183174e+00
0.0475228      	1.2211464e+00
0.0475576      	1.2215842e+00
0.0475923      	1.2244109e+00
0.047627       	1.2248475e+00
0.0476617      	1.2276719e+00
0.0476964      	1.2281073e+00
0.0477309      	1.2309295e+00
0.0477655      	1.2313637e+00
0.0478         	1.2341837e+00
0.0478344      	1.2346167e+00
0.0478689      	1.2374345e+00
0.0479032      	1.2378663e+00
0.0479376      	1.2406819e+00
0.0479719      	1.2411126e+00
0.0480061      	1.2439259e+00
0.0480403      	1.2443555e+00
0.0480745      	1.2471665e+00
0.0481086      	1.2475950e+00
0.0481427      	1.2504039e+00
0.0481767      	1.2508312e+00
0.0482107      	1.2536379e+00
0.0482447      	1.2540641e+00
0.0482786      	1.2568686e+00
0.0483125      	1.2572937e+00
0.0483463      	1.2600961e+00
0.0483801      	1.2605201e+00
0.0484138      	1.2633203e+00
0.0484476      	1.2637432e+00
0.0484812      	1.2665412e+00
0.0485149      	1.2669630e+00
0.0485485      	1.2697589e+00
0.048582       	1.2701796e+00
0.0486155      	1.2729734e+00
0.048649       	1.2733930e+00
0.0486824      	1.2761846e+00
0.0487158      	1.2766032e+00
0.0487492      	1.2793927e+00
0.0487825      	1.2798103e+00
0.0488158      	1.2825976e+00
0.048849       	1.2830141e+00
0.0488822      	1.2857994e+00
0.0489154      	1.2862149e+00
0.0489485      	1.2889980e+00
0.0489816      	1.2894124e+00
0.0490146      	1.2921935e+00
0.0490476      	1.2926069e+00
0.0490806      	1.2953859e+00
0.0491135      	1.2957983e+00
0.0491464      	1.2985752e+00
0.0491793      	1.2989865e+00
0.0492121      	1.3017614e+00
0.0492449      	1.3021717e+00
0.0492776      	1.3049445e+00
0.0493103      	1.3053538e+00
0.049343       	1.3081246e+00
0.0493756      	1.3085329e+00
0.0494082      	1.3113016e+00
0.0494408      	1.3117090e+00
0.0494733      	1.3144757e+00
0.0495058      	1.3148820e+00
0.0495382      	1.3176467e+00
0.0495706      	1.3180520e+00
0.049603       	1.3208147e+00
0.0496353      	1.3212191e+00
0.0496676      	1.3239797e+00
0.0496999      	1.3243831e+00
0.0497321      	1.3271418e+00
0.0497643      	1.3275442e+00
0.0497965      	1.3303009e+00
0.0498286      	1.3307024e+00
0.0498607      	1.3334570e+00
0.0498927      	1.3338576e+00
0.0499247      	1.3366103e+00
0.0499567      	1.3370099e+00
0.0499886      	1.3397606e+00
0.0500206      	1.3401593e+00
0.0500524      	1.3419519e+00
0.0500843      	1.3418220e+00
0.0501162      	1.3436136e+00
0.050148       	1.3434836e+00
0.0501798      	1.3452742e+00
0.0502116      	1.3451441e+00
0.0502434      	1.3469338e+00
0.0502752      	1.3468035e+00
0.050307       	1.3485923e+00
0.0503388      	1.3484619e+00
0.0503705      	1.3502498e+00
0.0504022      	1.3501193e+00
0.0504339      	1.3519063e+00
0.0504656      	1.3517758e+00
0.0504973      	1.3535618e+00
0.050529       	1.3534312e+00
0.0505606      	1.3552163e+00
0.0505923      	1.3550856e+00
0.0506239      	1.3568698e+00
0.0506555      	1.3567391e+00
0.0506871      	1.3585224e+00
0.0507187      	1.3583916e+00
0.0507503      	1.3601739e+00
0.0507818      	1.3600431e+00
0.0508134      	1.3618245e+00
0.0508449      	1.3616936e+00
0.0508764      	1.3634741e+00
0.0509079      	1.3633431e+00
0.0509394      	1.3651227e+00
0.0509708      	1.3649916e+00
0.0510023      	1.3667703e+00
0.0510337      	1.3666394e+00
0.0510652      	1.3684210e+00
0.0510966      	1.3682900e+00
0.051128       	1.3700706e+00
0.0511594      	1.3699396e+00
0.0511907      	1.3717192e+00
0.0512221      	1.3715881e+00
0.0512534      	1.3733669e+00
0.0512848      	1.3732357e+00
0.0513161      	1.3750135e+00
0.0513474      	1.3748822e+00
0.0513787      	1.3766591e+00
0.0514099      	1.3765277e+00
0.0514412      	1.3783037e+00
0.0514725      	1.3781723e+00
0.0515037      	1.3799473e+00
0.0515349      	1.3798158e+00
0.0515661      	1.3815899e+00
0.0515973      	1.3814582e+00
0.0516285      	1.3832314e+00
0.0516596      	1.3830997e+00
0.0516908      	1.3848719e+00
0.0517219      	1.3847401e+00
0.051753       	1.3865114e+00
0.0517842      	1.3863795e+00
0.0518153      	1.3881499e+00
0.0518463      	1.3880179e+00
0.0518774      	1.3897874e+00
0.0519085      	1.3896553e+00
