(
(0.688000	1296.08283160)
(0.689000	1294.41538190)
(0.690000	1293.16742730)
(0.691000	1292.34030080)
(0.692000	1291.93320260)
(0.693000	1291.94399990)
(0.694000	1292.36856040)
(0.695000	1293.20075230)
(0.696000	1294.43297750)
(0.697000	1296.05603830)
(0.698000	1298.05887080)
(0.699000	1300.42867820)
(0.700000	1303.15173060)
(0.701000	1306.21229860)
(0.702000	1309.59371970)
(0.703000	1313.27759850)
(0.704000	1317.24473980)
(0.705000	1321.47488200)
(0.706000	1325.94656380)
(0.707000	1330.63805730)
(0.708000	1335.52696810)
(0.709000	1340.59023530)
(0.710000	1345.80506460)
(0.711000	1351.14786190)
(0.712000	1356.59529970)
(0.713000	1362.12418380)
(0.714000	1367.71105340)
(0.715000	1373.33324750)
(0.716000	1378.96810510)
(0.717000	1384.59376500)
(0.718000	1390.18903250)
(0.719000	1395.73324610)
(0.720000	1401.20667740)
(0.721000	1406.59093100)
(0.722000	1411.86814470)
(0.723000	1417.02218920)
(0.724000	1422.03786830)
(0.725000	1426.90131880)
(0.726000	1431.60054370)
(0.727000	1436.12461240)
(0.728000	1440.46419390)
(0.729000	1444.61169010)
(0.730000	1448.56110250)
(0.731000	1452.30816550)
(0.732000	1455.85021310)
(0.733000	1459.18604560)
(0.734000	1462.31646280)
(0.735000	1465.24373080)
(0.736000	1467.97171530)
(0.737000	1470.50588160)
(0.738000	1472.85316130)
(0.739000	1475.02208560)
(0.740000	1477.02225210)
(0.741000	1478.86485800)
(0.742000	1480.56203360)
(0.743000	1482.12724220)
(0.744000	1483.57488020)
(0.745000	1484.92014380)
(0.746000	1486.17902900)
(0.747000	1487.36806500)
(0.748000	1488.50471410)
(0.749000	1489.60630530)
(0.750000	1490.69083410)
(0.751000	1491.77616270)
(0.752000	1492.88055320)
(0.753000	1494.02173450)
(0.754000	1495.21756880)
(0.755000	1496.48511850)
(0.756000	1497.84157930)
(0.757000	1499.30321380)
(0.758000	1500.88561810)
(0.759000	1502.60372180)
(0.760000	1504.47165470)
(0.761000	1506.50221360)
(0.762000	1508.70766210)
(0.763000	1511.09893080)
(0.764000	1513.68575060)
(0.765000	1516.47665270)
(0.766000	1519.47910190)
(0.767000	1522.69909670)
(0.768000	1526.14116930)
(0.769000	1529.80891880)
(0.770000	1533.70407810)
